ano;setor;salario_mediana
2019;agropecuaria;1392.800000
2019;comercio;1429.045000
2019;construcao;1533.330000
2019;industria;1622.455000
2019;servicos;1536.130000
2020;agropecuaria;1447.000000
2020;comercio;1436.740000
2020;construcao;1550.000000
2020;industria;1649.120000
2020;servicos;1512.090000
2021;agropecuaria;1554.395000
2021;comercio;1599.675000
2021;construcao;1724.145000
2021;industria;1826.345000
2021;servicos;1697.850000
2022;agropecuaria;1635.375000
2022;comercio;1694.220000
2022;construcao;1854.950000
2022;industria;1949.745000
2022;servicos;1795.770000
